word,data,shap_values
access,0.0,0.2289963
accessori,0.0,0.10192995
activ,0.0,0.2927032
addit,0.0,-0.091371536
america,0.0,0.1577246
applic,0.0,0.013410679
area,0.0,0.0625146
asset,0.0,-0.8454138
bank,0.0,-0.6450685
busi,0.0,0.47752845
canada,0.0,-0.19429962
cancer,0.0,0.22344196
candid,0.0,0.07905575
categori,0.0,-0.007227745
cell,0.0,0.92057776
client,0.0,-0.09605673
combin,0.0,0.15137328
commun,0.0,-0.0020148815
compani,0.0,-0.8089065
compon,0.0,0.21241944
compris,0.0,-0.024777297
comput,0.0,0.0044580856
connect,0.0,0.6207965
consist,0.0,0.06898429
construct,0.0,-0.21345723
consum,0.0,-0.23755391
content,0.0,-0.0253027
control,0.0,-0.08250807
corpor,0.0,-0.52764124
countri,0.0,-0.3075385
custom,0.0,-0.15569587
data,0.0,-0.06006324
deliv,0.0,-0.04770667
deliveri,0.0,-0.02516739
design,0.0,0.25926283
develop,0.07574532300158375,0.49556264
diseas,0.8217396465610625,30.73329
distribut,0.0,-0.26581356
drug,0.0,-0.16807643
enabl,0.0,1.1320606
engag,0.09571510948835443,-0.032169666
engin,0.0,-0.08425053
entertain,0.0,0.23378278
equip,0.0,-0.2384919
europ,0.0,0.04390612
experi,0.0,0.06449349
explor,0.0,-0.1355313
facil,0.0,-0.073634185
focus,0.0,0.80659544
govern,0.0,-0.22861901
help,0.0,-0.09280886
includ,0.24261783240610177,-1.127321
inform,0.0,0.17250279
infrastructur,0.0,-0.16589673
insur,0.0,-0.21988147
intellig,0.0,-0.15532263
interest,0.0,-0.43624973
leas,0.0,0.036609292
licens,0.0,-0.073250756
line,0.0,-0.25166225
llc,0.0,0.06244976
loan,0.0,0.27502465
locat,0.0,0.03054814
manag,0.0,0.09813181
manufactur,0.09856430607228601,0.3598399
market,0.0,-0.08124674
need,0.0,0.35684547
offer,0.23577340678172548,-1.2321556
oper,0.0,-1.6561272
organ,0.0,-0.14538755
other,0.2504976794654532,1.1740446
own,0.0,-0.8182317
patient,0.0,-0.49279
perform,0.0,0.004176466
pipelin,0.0,-0.12416498
platform,0.0,2.6995203
portfolio,0.104221129135481,-0.09611422
process,0.0,-0.15825053
produc,0.0,-0.003801682
product,0.0900461270432533,10.039208
program,0.0,0.24886791
project,0.0,-0.06893215
protect,0.0,-0.13214502
provid,0.0,-0.94125605
retail,0.0,0.05712917
sale,0.11888997720002187,0.07375691
secur,0.0,0.032703254
segment,0.0,-5.137867
sell,0.0,0.1648375
serv,0.0,-0.029885026
subsidiari,0.0,0.04381445
support,0.0,0.59791166
system,0.0,0.010105538
therapi,0.1478741199235255,2.139225
transport,0.0,0.0022501647
treatment,0.2606851828493336,0.79836774
use,0.0,0.1617996
util,0.0,0.026640847
varieti,0.0,-0.20366995
vehicl,0.0,1.1197362
